iter	MultiClass
0	0.6737020206
1	0.5608710163
2	0.502154215
3	0.4448745104
4	0.408534896
5	0.377751514
6	0.3586694412
7	0.3472536966
8	0.3283696508
9	0.3100865552
10	0.2986647148
11	0.2869503055
12	0.2815136187
13	0.2740477687
14	0.2686667117
15	0.2627234649
16	0.2590019944
17	0.2551933606
18	0.2480849392
19	0.244766435
20	0.2402487575
21	0.2330718461
22	0.2299124091
23	0.2268717676
24	0.2204040879
25	0.2132444408
26	0.2097227292
27	0.2045477285
28	0.1985544354
29	0.1954947759
30	0.1922606374
31	0.1880672714
32	0.1852346547
33	0.1826114543
34	0.180514032
35	0.177282636
36	0.1745831151
37	0.1711320034
38	0.1687769019
39	0.1653687781
40	0.1623738711
41	0.1600307199
42	0.1580708267
43	0.1560227703
44	0.1548404833
45	0.1532939354
46	0.1515942058
47	0.1494007999
48	0.1474853091
49	0.146427017
50	0.1445801714
51	0.1428389305
52	0.1401817076
53	0.138198819
54	0.1359647538
55	0.1343431266
56	0.1324550655
57	0.1310156429
58	0.1293015124
59	0.1281518207
60	0.1261737333
61	0.1244019523
62	0.1232873025
63	0.1222826194
64	0.1213083463
65	0.1202096893
66	0.1191594375
67	0.1182735909
68	0.1169327121
69	0.1151875772
70	0.114434057
71	0.1131550472
72	0.1122942551
73	0.1115130097
74	0.1103530179
75	0.1098648511
76	0.1085933063
77	0.1077634757
78	0.1072357519
79	0.1062324092
80	0.1051795049
81	0.104493841
82	0.103550015
83	0.1029323958
84	0.1020083162
85	0.101431799
86	0.09983566475
87	0.09920687514
88	0.09871837485
89	0.09813905322
90	0.09757276954
91	0.09712569694
92	0.09673066305
93	0.09627143295
94	0.09567384781
95	0.09502323161
96	0.09443877173
97	0.09368704614
98	0.09340650879
99	0.09282068116
